offset,file_count,small_count,unique_count,min,max,median,values
0,47,47,5,0,5,3,0 2 3 4 5
8,47,47,2,1,2,2,1 2
20,47,44,2,0,110,0.0,0 110
22,47,45,2,0,49,0,0 49
26,47,47,2,0,49,0,0 49
60,47,11,3,0,2,0,0 1 2
68,47,2,2,48,116,82.0,48 116
76,47,4,2,0,122,0.0,0 122
80,47,46,2,0,2,2.0,0 2
132,47,8,2,0,1,0.0,0 1
148,47,2,2,4,38,21.0,4 38
152,47,46,3,0,2,2.0,0 1 2
162,47,43,2,0,53,0,0 53
192,47,38,2,0,179,0.0,0 179
200,47,4,2,0,744,0.0,0 744
204,47,16,3,0,2,0.0,0 1 2
212,47,5,3,0,160,114,0 114 160
224,47,42,4,0,3,1.0,0 1 2 3
232,47,2,2,231,646,438.5,231 646
234,47,11,2,0,121,121,0 121
236,47,18,3,0,50,0.0,0 49 50
238,47,31,4,0,53,0,0 49 50 53
242,47,42,2,0,50,0.0,0 50
248,47,45,2,0,11,0,0 11
